ticker,entry_1,exit_1,entry_2,exit_2,entry_3,exit_3,num_entries,num_exits
MTLQQ,1996-01-02,2009-05-29,,,,,1,1
LUB,1996-01-02,1996-12-27,,,,,1,1
HRB,1996-01-02,2020-09-18,,,,,1,1
MEL,1996-01-02,2007-06-26,,,,,1,1
MER,1996-01-02,2008-12-29,,,,,1,1
PHA,1996-01-02,2003-04-07,,,,,1,1
UCL,1996-01-02,2005-08-10,,,,,1,1
AGC,1996-01-02,2001-08-20,,,,,1,1
CSCO,1996-01-02,,,,,,1,0
G,1996-01-02,2005-09-28,,,,,1,1
AMH,1996-01-02,1997-09-08,,,,,1,1
DIS,1996-01-02,,,,,,1,0
AZA.A,1996-01-02,2001-06-20,,,,,1,1
JH,1996-01-02,1998-03-30,,,,,1,1
DLX,1996-01-02,2004-12-16,,,,,1,1
M,1996-01-02,2020-04-03,,,,,1,1
ANV,1996-01-02,1999-04-08,,,,,1,1
FMCC,1996-01-02,2008-09-08,,,,,1,1
GFS.A,1996-01-02,1998-07-13,,,,,1,1
BGG,1996-01-02,2001-04-02,,,,,1,1
UIS,1996-01-02,2008-11-07,,,,,1,1
HNZ,1996-01-02,2013-06-06,,,,,1,1
AET,1996-01-02,2018-11-28,,,,,1,1
NUE,1996-01-02,,,,,,1,0
WAI,1996-01-02,1998-08-06,,,,,1,1
RAD,1996-01-02,2000-07-19,,,,,1,1
CMCSA,1996-01-02,,,,,,1,0
CCK,1996-01-02,2000-12-08,,,,,1,1
ED,1996-01-02,,,,,,1,0
SYY,1996-01-02,,,,,,1,0
RAL,1996-01-02,2001-12-06,,,,,1,1
GIDL,1996-01-02,1997-07-09,,,,,1,1
OMX,1996-01-02,2008-06-18,,,,,1,1
CTX,1996-01-02,2009-08-18,,,,,1,1
CTB,1996-01-02,2006-07-11,,,,,1,1
CCI,1996-01-02,1998-10-07,2012-03-13,,,,2,1
CSR,1996-01-02,2000-06-15,,,,,1,1
CBS,1996-01-02,2019-11-21,,,,,1,1
DJ,1996-01-02,2007-12-12,,,,,1,1
UNH,1996-01-02,,,,,,1,0
USBC,1996-01-02,1997-08-01,,,,,1,1
ANDW,1996-01-02,2006-09-28,,,,,1,1
INCLF,1996-01-02,2002-07-18,,,,,1,1
ARC,1996-01-02,2000-04-10,,,,,1,1
C,1996-01-02,,,,,,1,0
TMK,1996-01-02,2019-07-15,,,,,1,1
D,1996-01-02,,,,,,1,0
TEK,1996-01-02,2007-11-13,,,,,1,1
TNB,1996-01-02,2004-07-29,,,,,1,1
GIS,1996-01-02,,,,,,1,0
MNR,1996-01-02,1998-09-24,,,,,1,1
AMAT,1996-01-02,,,,,,1,0
KMB,1996-01-02,,,,,,1,0
JPM,1996-01-02,,,,,,1,0
XRX,1996-01-02,2021-02-12,,,,,1,1
HES,1996-01-02,,,,,,1,0
ROK,1996-01-02,,,,,,1,0
SPGI,1996-01-02,,,,,,1,0
CBE,1996-01-02,2009-09-08,2011-11-23,2012-11-27,,,2,2
USHC,1996-01-02,1996-07-18,,,,,1,1
FL,1996-01-02,1998-12-31,2016-04-04,2019-08-08,,,2,2
ACKH,1996-01-02,2000-11-08,,,,,1,1
HP,1996-01-02,1999-12-28,2010-03-01,2020-05-12,,,2,2
GRA,1996-01-02,2000-12-08,,,,,1,1
KM,1996-01-02,2002-01-15,,,,,1,1
CMB,1996-01-02,1996-03-29,,,,,1,1
USH,1996-01-02,1997-06-16,,,,,1,1
PFE,1996-01-02,,,,,,1,0
WEN,1996-01-02,2008-09-26,,,,,1,1
CEN,1996-01-02,2001-03-30,,,,,1,1
ORCL,1996-01-02,,,,,,1,0
AM,1996-01-02,2004-04-30,,,,,1,1
KEY,1996-01-02,,,,,,1,0
RYC,1996-01-02,1999-08-11,,,,,1,1
RYAN,1996-01-02,1996-12-27,,,,,1,1
STI,1996-01-02,2019-12-05,,,,,1,1
WHR,1996-01-02,2024-03-17,,,,,1,1
TCOMA,1996-01-02,1999-03-08,,,,,1,1
WYE,1996-01-02,2009-10-15,,,,,1,1
FDX,1996-01-02,,,,,,1,0
CFL,1996-01-02,1998-04-27,,,,,1,1
CNG,1996-01-02,2000-01-28,,,,,1,1
NYN,1996-01-02,1997-08-14,,,,,1,1
STJ,1996-01-02,2017-01-03,,,,,1,1
SIAL,1996-01-02,2015-11-17,,,,,1,1
GPS,1996-01-02,2022-01-20,,,,,1,1
EC,1996-01-02,2006-06-05,,,,,1,1
BT,1996-01-02,1999-06-03,,,,,1,1
HAS,1996-01-02,,,,,,1,0
NAV,1996-01-02,2006-12-11,,,,,1,1
BMY,1996-01-02,,,,,,1,0
NOC,1996-01-02,,,,,,1,0
GAPTQ,1996-01-02,2000-08-25,,,,,1,1
DWD,1996-01-02,1997-05-30,,,,,1,1
MO,1996-01-02,,,,,,1,0
RLM,1996-01-02,2000-04-27,,,,,1,1
DI,1996-01-02,1998-09-29,,,,,1,1
CVX,1996-01-02,,,,,,1,0
BOAT,1996-01-02,1997-01-03,,,,,1,1
BMS,1996-01-02,2014-12-04,,,,,1,1
GP,1996-01-02,2005-12-16,,,,,1,1
PEP,1996-01-02,,,,,,1,0
SNA,1996-01-02,,,,,,1,0
SHN,1996-01-02,1996-12-27,,,,,1,1
COV,1996-01-02,1996-08-08,2007-07-02,2009-06-04,2011-03-01,2015-01-15,3,3
FCN,1996-01-02,1998-10-01,,,,,1,1
OM,1996-01-02,1996-09-30,,,,,1,1
FG,1996-01-02,1998-04-16,,,,,1,1
I,1996-01-02,1996-03-29,,,,,1,1
