C,A,L,final_value,total_return,avg_picks
0.05,0.05,0.0,527777.82,4.2778,121.03
0.05,0.05,0.05,299616.97,1.9962,1.41
0.05,0.05,0.1,642576.71,5.4258,1.25
0.05,0.05,0.15,673548.32,5.7355,1.00
0.05,0.1,0.0,536998.88,4.3700,119.35
0.05,0.1,0.05,299616.97,1.9962,1.41
0.05,0.1,0.1,642576.71,5.4258,1.25
0.05,0.1,0.15,673548.32,5.7355,1.00
0.05,0.15000000000000002,0.0,538265.20,4.3827,118.18
0.05,0.15000000000000002,0.05,354070.91,2.5407,1.38
0.05,0.15000000000000002,0.1,642576.71,5.4258,1.25
0.05,0.15000000000000002,0.15,673548.32,5.7355,1.00
0.05,0.2,0.0,538245.68,4.3825,117.42
0.05,0.2,0.05,350518.99,2.5052,1.33
0.05,0.2,0.1,642576.71,5.4258,1.25
0.05,0.2,0.15,673548.32,5.7355,1.00
0.05,0.25,0.0,545475.44,4.4548,116.53
0.05,0.25,0.05,350518.99,2.5052,1.33
0.05,0.25,0.1,642576.71,5.4258,1.25
0.05,0.25,0.15,673548.32,5.7355,1.00
0.05,0.3,0.0,546236.33,4.4624,116.00
0.05,0.3,0.05,469584.75,3.6958,1.35
0.05,0.3,0.1,642576.71,5.4258,1.25
0.05,0.3,0.15,673548.32,5.7355,1.00
0.05,0.35000000000000003,0.0,549557.04,4.4956,115.50
0.05,0.35000000000000003,0.05,469584.75,3.6958,1.35
0.05,0.35000000000000003,0.1,642576.71,5.4258,1.25
0.05,0.35000000000000003,0.15,673548.32,5.7355,1.00
0.05,0.4,0.0,551064.01,4.5106,115.12
0.05,0.4,0.05,419892.61,3.1989,1.37
0.05,0.4,0.1,642576.71,5.4258,1.25
0.05,0.4,0.15,673548.32,5.7355,1.00
0.05,0.45,0.0,553081.94,4.5308,114.88
0.05,0.45,0.05,419892.61,3.1989,1.37
0.05,0.45,0.1,642576.71,5.4258,1.25
0.05,0.45,0.15,673548.32,5.7355,1.00
0.05,0.5,0.0,554996.28,4.5500,114.77
0.05,0.5,0.05,419892.61,3.1989,1.37
0.05,0.5,0.1,642576.71,5.4258,1.25
0.05,0.5,0.15,673548.32,5.7355,1.00
0.1,0.05,0.0,537175.82,4.3718,110.07
0.1,0.05,0.05,262596.59,1.6260,1.45
0.1,0.05,0.1,642576.71,5.4258,1.25
0.1,0.05,0.15,673548.32,5.7355,1.00
0.1,0.1,0.0,548366.28,4.4837,108.10
0.1,0.1,0.05,262596.59,1.6260,1.45
0.1,0.1,0.1,642576.71,5.4258,1.25
0.1,0.1,0.15,673548.32,5.7355,1.00
0.1,0.15000000000000002,0.0,547620.32,4.4762,106.63
0.1,0.15000000000000002,0.05,310322.25,2.1032,1.42
0.1,0.15000000000000002,0.1,642576.71,5.4258,1.25
0.1,0.15000000000000002,0.15,673548.32,5.7355,1.00
0.1,0.2,0.0,547009.00,4.4701,105.63
0.1,0.2,0.05,307209.21,2.0721,1.37
0.1,0.2,0.1,642576.71,5.4258,1.25
0.1,0.2,0.15,673548.32,5.7355,1.00
0.1,0.25,0.0,554737.26,4.5474,104.53
0.1,0.25,0.05,307209.21,2.0721,1.37
0.1,0.25,0.1,642576.71,5.4258,1.25
0.1,0.25,0.15,673548.32,5.7355,1.00
0.1,0.3,0.0,554389.38,4.5439,103.92
0.1,0.3,0.05,411563.31,3.1156,1.39
0.1,0.3,0.1,642576.71,5.4258,1.25
0.1,0.3,0.15,673548.32,5.7355,1.00
0.1,0.35000000000000003,0.0,555915.65,4.5592,103.28
0.1,0.35000000000000003,0.05,411563.31,3.1156,1.39
0.1,0.35000000000000003,0.1,642576.71,5.4258,1.25
0.1,0.35000000000000003,0.15,673548.32,5.7355,1.00
0.1,0.4,0.0,558024.70,4.5802,102.85
0.1,0.4,0.05,368011.09,2.6801,1.41
0.1,0.4,0.1,642576.71,5.4258,1.25
0.1,0.4,0.15,673548.32,5.7355,1.00
0.1,0.45,0.0,560670.79,4.6067,102.60
0.1,0.45,0.05,368011.09,2.6801,1.41
0.1,0.45,0.1,642576.71,5.4258,1.25
0.1,0.45,0.15,673548.32,5.7355,1.00
0.1,0.5,0.0,562453.09,4.6245,102.47
0.1,0.5,0.05,368011.09,2.6801,1.41
0.1,0.5,0.1,642576.71,5.4258,1.25
0.1,0.5,0.15,673548.32,5.7355,1.00
0.15000000000000002,0.05,0.0,540597.51,4.4060,99.70
0.15000000000000002,0.05,0.05,262596.59,1.6260,1.45
0.15000000000000002,0.05,0.1,642576.71,5.4258,1.25
0.15000000000000002,0.05,0.15,673548.32,5.7355,1.00
0.15000000000000002,0.1,0.0,556452.25,4.5645,97.47
0.15000000000000002,0.1,0.05,262596.59,1.6260,1.45
0.15000000000000002,0.1,0.1,642576.71,5.4258,1.25
0.15000000000000002,0.1,0.15,673548.32,5.7355,1.00
0.15000000000000002,0.15000000000000002,0.0,559712.21,4.5971,95.67
0.15000000000000002,0.15000000000000002,0.05,310322.25,2.1032,1.42
0.15000000000000002,0.15000000000000002,0.1,642576.71,5.4258,1.25
0.15000000000000002,0.15000000000000002,0.15,673548.32,5.7355,1.00
0.15000000000000002,0.2,0.0,560934.06,4.6093,94.37
0.15000000000000002,0.2,0.05,307209.21,2.0721,1.37
0.15000000000000002,0.2,0.1,642576.71,5.4258,1.25
0.15000000000000002,0.2,0.15,673548.32,5.7355,1.00
0.15000000000000002,0.25,0.0,567462.43,4.6746,93.07
0.15000000000000002,0.25,0.05,307209.21,2.0721,1.37
0.15000000000000002,0.25,0.1,642576.71,5.4258,1.25
0.15000000000000002,0.25,0.15,673548.32,5.7355,1.00
0.15000000000000002,0.3,0.0,569863.97,4.6986,92.32
0.15000000000000002,0.3,0.05,411563.31,3.1156,1.39
0.15000000000000002,0.3,0.1,642576.71,5.4258,1.25
0.15000000000000002,0.3,0.15,673548.32,5.7355,1.00
0.15000000000000002,0.35000000000000003,0.0,574376.44,4.7438,91.60
0.15000000000000002,0.35000000000000003,0.05,411563.31,3.1156,1.39
0.15000000000000002,0.35000000000000003,0.1,642576.71,5.4258,1.25
0.15000000000000002,0.35000000000000003,0.15,673548.32,5.7355,1.00
0.15000000000000002,0.4,0.0,576701.49,4.7670,91.15
0.15000000000000002,0.4,0.05,368011.09,2.6801,1.41
0.15000000000000002,0.4,0.1,642576.71,5.4258,1.25
0.15000000000000002,0.4,0.15,673548.32,5.7355,1.00
0.15000000000000002,0.45,0.0,580939.69,4.8094,90.85
0.15000000000000002,0.45,0.05,368011.09,2.6801,1.41
0.15000000000000002,0.45,0.1,642576.71,5.4258,1.25
